date,date_dt,season,block_id,cultivar,file,eta_mm,eto_mm,ndvi
2022-08-13,2022-08-13,2022_2023,K1,CabFranc,ETa_Tokara_2022-08-13_10m.tif,0.7841209,1.7055429,0.6098711490631104
2022-08-14,2022-08-14,2022_2023,K1,CabFranc,ETa_Tokara_2022-08-14_10m.tif,0.64897496,1.4116015,
2022-08-15,2022-08-15,2022_2023,K1,CabFranc,ETa_Tokara_2022-08-15_10m.tif,0.9236391,2.0088394,
2022-08-16,2022-08-16,2022_2023,K1,CabFranc,ETa_Tokara_2022-08-16_10m.tif,1.1179466,2.4312994,
2022-08-17,2022-08-17,2022_2023,K1,CabFranc,ETa_Tokara_2022-08-17_10m.tif,0.44093996,0.9587939,
2022-08-18,2022-08-18,2022_2023,K1,CabFranc,ETa_Tokara_2022-08-18_10m.tif,0.4361522,0.9485472,
2022-08-19,2022-08-19,2022_2023,K1,CabFranc,ETa_Tokara_2022-08-19_10m.tif,0.5988389,1.3026477,
2022-08-20,2022-08-20,2022_2023,K1,CabFranc,ETa_Tokara_2022-08-20_10m.tif,0.74031454,1.6102799,
2022-08-21,2022-08-21,2022_2023,K1,CabFranc,ETa_Tokara_2022-08-21_10m.tif,0.93211716,2.0272305,
2022-08-22,2022-08-22,2022_2023,K1,CabFranc,ETa_Tokara_2022-08-22_10m.tif,1.0625774,2.3109198,
2022-08-23,2022-08-23,2022_2023,K1,CabFranc,ETa_Tokara_2022-08-23_10m.tif,1.555735,3.3738058,0.5906599760055542
2022-08-24,2022-08-24,2022_2023,K1,CabFranc,ETa_Tokara_2022-08-24_10m.tif,1.5039419,3.2607524,
2022-08-25,2022-08-25,2022_2023,K1,CabFranc,ETa_Tokara_2022-08-25_10m.tif,0.78077245,1.6934189,
2022-08-26,2022-08-26,2022_2023,K1,CabFranc,ETa_Tokara_2022-08-26_10m.tif,0.98078036,2.1272154,
2022-08-27,2022-08-27,2022_2023,K1,CabFranc,ETa_Tokara_2022-08-27_10m.tif,0.8252512,1.7898916,
2022-08-28,2022-08-28,2022_2023,K1,CabFranc,ETa_Tokara_2022-08-28_10m.tif,0.7886346,1.7103211,
2022-08-29,2022-08-29,2022_2023,K1,CabFranc,ETa_Tokara_2022-08-29_10m.tif,0.9833188,2.132702,
2022-08-30,2022-08-30,2022_2023,K1,CabFranc,ETa_Tokara_2022-08-30_10m.tif,1.7496512,3.7950814,
2022-08-31,2022-08-31,2022_2023,K1,CabFranc,ETa_Tokara_2022-08-31_10m.tif,2.2064178,4.7845693,
2022-09-01,2022-09-01,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-01_10m.tif,1.8366513,3.9825833,
2022-09-02,2022-09-02,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-02_10m.tif,1.0295427,2.2329357,
2022-09-03,2022-09-03,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-03_10m.tif,1.1333222,2.4578233,
2022-09-04,2022-09-04,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-04_10m.tif,0.8769098,1.9019403,
2022-09-05,2022-09-05,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-05_10m.tif,0.929421,2.0157611,
2022-09-06,2022-09-06,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-06_10m.tif,1.1232032,2.43593,
2022-09-07,2022-09-07,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-07_10m.tif,1.5707164,3.4153597,0.47627323865890503
2022-09-08,2022-09-08,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-08_10m.tif,1.4551282,3.1641185,
2022-09-09,2022-09-09,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-09_10m.tif,1.3627312,2.963127,
2022-09-10,2022-09-10,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-10_10m.tif,0.7401966,1.6095232,
2022-09-11,2022-09-11,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-11_10m.tif,0.8139578,1.7697811,
2022-09-12,2022-09-12,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-12_10m.tif,1.1762873,2.5992687,0.45207953453063965
2022-09-13,2022-09-13,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-13_10m.tif,1.5972781,3.5295289,
2022-09-14,2022-09-14,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-14_10m.tif,1.8812606,4.1570225,
2022-09-15,2022-09-15,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-15_10m.tif,1.5136994,3.3447964,
2022-09-16,2022-09-16,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-16_10m.tif,1.302574,2.8782895,
2022-09-17,2022-09-17,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-17_10m.tif,0.69026154,1.5252744,
2022-09-18,2022-09-18,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-18_10m.tif,1.075967,2.3776035,
2022-09-19,2022-09-19,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-19_10m.tif,1.2100748,2.673926,
2022-09-20,2022-09-20,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-20_10m.tif,1.3775578,3.0439951,
2022-09-21,2022-09-21,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-21_10m.tif,1.728521,3.8195224,
2022-09-22,2022-09-22,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-22_10m.tif,1.2208844,2.6978145,
2022-09-23,2022-09-23,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-23_10m.tif,1.0738611,2.3729203,
2022-09-24,2022-09-24,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-24_10m.tif,1.2273788,2.7121441,
2022-09-25,2022-09-25,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-25_10m.tif,1.3864684,3.0636868,
2022-09-26,2022-09-26,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-26_10m.tif,1.147539,2.5357237,
2022-09-27,2022-09-27,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-27_10m.tif,1.5284907,3.489936,0.4063225984573364
2022-09-28,2022-09-28,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-28_10m.tif,1.5176185,3.4650795,
2022-09-29,2022-09-29,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-29_10m.tif,1.4826014,3.3851504,
2022-09-30,2022-09-30,2022_2023,K1,CabFranc,ETa_Tokara_2022-09-30_10m.tif,1.2088443,2.7600806,
2022-10-01,2022-10-01,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-01_10m.tif,1.4795641,3.378215,
2022-10-02,2022-10-02,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-02_10m.tif,1.9911203,4.5694146,0.3984626233577728
2022-10-03,2022-10-03,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-03_10m.tif,1.1884259,2.7274323,
2022-10-04,2022-10-04,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-04_10m.tif,1.4091216,3.2337658,
2022-10-05,2022-10-05,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-05_10m.tif,1.521864,3.4924438,
2022-10-06,2022-10-06,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-06_10m.tif,1.025027,2.3524582,
2022-10-07,2022-10-07,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-07_10m.tif,2.393017,5.5114555,0.4293886721134186
2022-10-08,2022-10-08,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-08_10m.tif,1.9732329,4.544676,
2022-10-09,2022-10-09,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-09_10m.tif,2.2125185,5.095817,
2022-10-10,2022-10-10,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-10_10m.tif,1.6893959,3.8909824,
2022-10-11,2022-10-11,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-11_10m.tif,1.7787077,4.0966454,
2022-10-12,2022-10-12,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-12_10m.tif,1.7524918,3.8809602,0.4137253761291504
2022-10-13,2022-10-13,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-13_10m.tif,1.2796638,2.833827,
2022-10-14,2022-10-14,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-14_10m.tif,2.2007666,4.8738475,
2022-10-15,2022-10-15,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-15_10m.tif,1.373984,3.0428114,
2022-10-16,2022-10-16,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-16_10m.tif,2.0818315,4.610425,
2022-10-17,2022-10-17,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-17_10m.tif,1.9586837,4.3377233,
2022-10-18,2022-10-18,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-18_10m.tif,1.982658,4.390733,
2022-10-19,2022-10-19,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-19_10m.tif,2.366019,5.239817,
2022-10-20,2022-10-20,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-20_10m.tif,1.8761035,4.154764,
2022-10-21,2022-10-21,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-21_10m.tif,2.1773458,4.8221498,
2022-10-22,2022-10-22,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-22_10m.tif,2.7552357,6.1944914,0.43652233481407166
2022-10-23,2022-10-23,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-23_10m.tif,2.6315925,5.9164534,
2022-10-24,2022-10-24,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-24_10m.tif,2.2954283,5.160669,
2022-10-25,2022-10-25,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-25_10m.tif,1.7562256,3.9484553,
2022-10-26,2022-10-26,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-26_10m.tif,2.5330086,5.694784,
2022-10-27,2022-10-27,2022_2023,K1,CabFranc,ETa_Tokara_2022-10-27_10m.tif,2.147587,4.661556,0.43896588683128357
