Month,Year,PrecipitationJanuary,2022,7.20
February,2022,5.84
March,2022,27.77
April,2022,11.17
May,2022,26.69
June,2022,106.97
July,2022,29.44
August,2022,41.84
September,2022,21.58
October,2022,13.43
November,2022,28.50
December,2022,59.79
January,2023,4.48
February,2023,14.45
March,2023,63.73
April,2023,52.59
May,2023,73.19
June,2023,144.91
July,2023,55.49
August,2023,38.12
September,2023,89.24
October,2023,6.22
November,2023,10.85
December,2023,2.88
January,2024,242.96
February,2024,119.95
March,2024,99.13
April,2024,155.14
May,2024,75.92
June,2024,85.87
July,2024,75.76
August,2024,88.99
September,2024,42.53
October,2024,31.11
November,2024,30.87
December,2024,23.78
January,2025,13.92
February,2025,13.92
March,2025,16.84
April,2025,37.11
May,2025,75.92
June,2025,85.87
July,2025,75.76
August,2025,88.99
September,2025,42.53
October,2025,31.11
November,2025,30.87
December,2025,23.78
